mode,device_id,gpu_name,compute_capability,precision,input_type,accumulator_type,output_type,m,n,k,median_ms,p90_ms,throughput,unit,best,validation,status,algorithm,workspace_bytes,message
isolated,2,NVIDIA GeForce RTX 5090,12.0,int4,,,,0,0,0,0.000000,0.000000,0.000000,,False,NOT_RUN,UNSUPPORTED,,0,"cuBLASLt does not provide a dense INT4 GEMM kernel; INT4 Tensor Core is used via inference frameworks (CUTLASS/quantized paths), not standard dense GEMM APIs"
isolated,2,NVIDIA GeForce RTX 5090,12.0,int8,INT8,INT32,INT32,4096,4096,4096,0.184128,0.184672,746.431572,TOPS,False,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=4096, expected=4096, tolerance=1e-06"
isolated,2,NVIDIA GeForce RTX 5090,12.0,int8,INT8,INT32,INT32,8192,8192,8192,1.230048,1.260000,893.877052,TOPS,False,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=8192, expected=8192, tolerance=1e-06"
isolated,2,NVIDIA GeForce RTX 5090,12.0,int8,INT8,INT32,INT32,16384,16384,16384,9.665216,9.694624,910.077190,TOPS,True,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=16384, expected=16384, tolerance=1e-06"
isolated,2,NVIDIA GeForce RTX 5090,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,4096,4096,4096,0.303616,0.313760,452.673638,TFLOPS,False,PASS,OK,cuBLASLt algo 35 layout=TN per-tensor scale,67125407,"actual=1024, expected=1024, tolerance=30.72"
isolated,2,NVIDIA GeForce RTX 5090,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,8192,8192,8192,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,All cuBLASLt heuristic algorithms failed
isolated,2,NVIDIA GeForce RTX 5090,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,16384,16384,16384,18.463392,18.511168,476.407201,TFLOPS,True,PASS,OK,cuBLASLt algo 67 layout=TN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,2,NVIDIA GeForce RTX 5090,12.0,fp8_e5m2,FP8_E5M2,FP32,FP16,4096,4096,4096,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,No cuBLASLt algorithm for fp8_e5m2 (CUBLAS_STATUS_NOT_SUPPORTED); cuBLASLt did not provide a kernel for this precision/layout on this GPU architecture
isolated,2,NVIDIA GeForce RTX 5090,12.0,fp8_e5m2,FP8_E5M2,FP32,FP16,8192,8192,8192,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,No cuBLASLt algorithm for fp8_e5m2 (CUBLAS_STATUS_NOT_SUPPORTED); cuBLASLt did not provide a kernel for this precision/layout on this GPU architecture
isolated,2,NVIDIA GeForce RTX 5090,12.0,fp8_e5m2,FP8_E5M2,FP32,FP16,16384,16384,16384,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,No cuBLASLt algorithm for fp8_e5m2 (CUBLAS_STATUS_NOT_SUPPORTED); cuBLASLt did not provide a kernel for this precision/layout on this GPU architecture
isolated,2,NVIDIA GeForce RTX 5090,12.0,nvfp4,FP4_E2M1,FP32,BF16,4096,4096,4096,0.105472,0.105728,1303.084757,TFLOPS,False,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,0,"actual=1024, expected=1024, tolerance=30.72"
